id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
veracruz_bts,Veracruz,Mexico,August,Veracruz,bts,Veracruz,2018,2018-08-01,Veracruz,city,"Veracruz, Veracruz, Mexico",19.1798858,-96.135648
veracruz_icon,Veracruz,Mexico,January,Veracruz,icon,Veracruz,2008,2008-01-01,Veracruz,city,"Veracruz, Veracruz, Mexico",19.1798858,-96.135648
vermont_bto,,United States,September,Vermont,bto,Vermont,2018,2018-09-01,,state,"Vermont, United States",44.5990718,-72.5002608
vermont_bts,,United States,March,Vermont,bts,Vermont,2018,2018-03-01,,state,"Vermont, United States",44.5990718,-72.5002608
victoria_bts,Victoria,Canada,June,Victoria,bts,British Columbia,2018,2018-06-01,Victoria,city,"Victoria, British Columbia, Canada",48.4283182,-123.3649533
vienna_icon,Vienna,Austria,January,Vienna,icon,,2008,2008-01-01,Vienna,city,"Vienna, Austria",48.2083537,16.3725042
vienna_yah,Vienna,Austria,July,Vienna,yah,,2016,2016-07-01,Vienna,city,"Vienna, Austria",48.2083537,16.3725042
vietnam_icon,,Vietnam,January,Vietnam,icon,,2012,2012-01-01,,country,Vietnam,13.2904027,108.4265113
vietnam_icon_2,,Vietnam,January,Vietnam v.2,icon,,2013,2013-01-01,,country,Vietnam,13.2904027,108.4265113
vietnam_rlf,,Vietnam,January,Vietnam,rlf,,2016,2016-01-01,,country,Vietnam,13.2904027,108.4265113
vietnam_yah,,Vietnam,August,Vietnam,yah,,2016,2016-08-01,,country,Vietnam,13.2904027,108.4265113
vietnam_yaho,,Vietnam,August,Vietnam,yaho,,2016,2016-08-01,,country,Vietnam,13.2904027,108.4265113
villahermosa_bts,Villahermosa,Mexico,August,Villahermosa,bts,Tabasco,2018,2018-08-01,Villahermosa,city,"Villahermosa, Tabasco, Mexico",17.988924,-92.9803686
villahermosa_icon,Villahermosa,Mexico,January,Villahermosa,icon,Tabasco,2010,2010-01-01,Villahermosa,city,"Villahermosa, Tabasco, Mexico",17.988924,-92.9803686
virginia_bto,,United States,August,Virginia,bto,Virginia,2018,2018-08-01,,state,"Virginia, United States",37.1232245,-78.4927721
virginia_bts,,United States,March,Virginia,bts,Virginia,2018,2018-03-01,,state,"Virginia, United States",37.1232245,-78.4927721
virginia_btx,,United States,October,Virginia,btx,Virginia,2018,2018-10-01,,state,"Virginia, United States",37.1232245,-78.4927721
virginia_yah,,United States,November,Virginia,yah,Virginia,2014,2014-11-01,,state,"Virginia, United States",37.1232245,-78.4927721
virginia_yaho,,United States,August,Virginia,yaho,Virginia,2016,2016-08-01,,state,"Virginia, United States",37.1232245,-78.4927721
waikiki_bto,Waikiki,United States,August,Waikiki,bto,Hawaii,2018,2018-08-01,Waikiki,city,"Waikiki, Hawaii, United States",21.2793568,-157.8285713
waikiki_bts,Honolulu,United States,April,Waikiki,bts,Hawaii,2018,2018-04-01,Honolulu,city,"Honolulu, Hawaii, United States",21.304547,-157.8556764
waikiki_icon,Honolulu,United States,January,Waikiki,icon,Waikiki,2009,2009-01-01,Honolulu,city,"Honolulu, Waikiki, United States",21.2759834,-157.82580015
waikiki_yah,Honolulu,United States,March,Waikiki,yah,Hawaii,2013,2013-03-01,Honolulu,city,"Honolulu, Hawaii, United States",21.304547,-157.8556764
waikiki_yaho,Honolulu,United States,April,Waikiki,yaho,Hawaii,2017,2017-04-01,Honolulu,city,"Honolulu, Hawaii, United States",21.304547,-157.8556764
wales_icon,,United Kingdom,January,Wales,icon,Wales,2010,2010-01-01,,state,"Wales, United Kingdom",52.2928116,-3.73893
wales_yah,,United Kingdom,June,Wales,yah,Wales,2018,2018-06-01,,state,"Wales, United Kingdom",52.2928116,-3.73893
warsaw_icon,Warsaw,Poland,January,Warsaw,icon,,2010,2010-01-01,Warsaw,city,"Warsaw, Poland",52.2337172,21.0714111288323
warsaw_yah,Warsaw,Poland,October,Warsaw,yah,,2018,2018-10-01,Warsaw,city,"Warsaw, Poland",52.2337172,21.0714111288323
washington_bto,,United States,August,Washington,bto,Washington,2018,2018-08-01,,state,"Washington, United States",47.2868352,-120.2126139
washington_bts,,United States,March,Washington,bts,Washington,2018,2018-03-01,,state,"Washington, United States",47.2868352,-120.2126139
washington_btx,,United States,October,Washington,btx,Washington,2018,2018-10-01,,state,"Washington, United States",47.2868352,-120.2126139
washington_dc_bto,Washington,United States,August,"Washington, D.C.",bto,District of Columbia,2018,2018-08-01,Washington DC,city,"Washington, District of Columbia, United States",38.8950092,-77.0365625
washington_dc_bts,Washington,United States,April,"Washington, D.C.",bts,District of Columbia,2018,2018-04-01,Washington DC,city,"Washington, District of Columbia, United States",38.8950092,-77.0365625
washington_dc_btx,Washington,United States,November,"Washington, D.C.",btx,District of Columbia,2018,2018-11-01,Washington DC,city,"Washington, District of Columbia, United States",38.8950092,-77.0365625
washington_dc_icon,Washington,United States,January,Washington DC,icon,District of Columbia,2009,2009-01-01,Washington DC,city,"Washington, District of Columbia, United States",38.8950092,-77.0365625
washington_dc_yah,Washington,United States,April,"Washington, D.C.",yah,District of Columbia,2013,2013-04-01,Washington DC,city,"Washington, District of Columbia, United States",38.8950092,-77.0365625
washington_dc_yaho,Washington,United States,August,"Washington, D.C.",yaho,District of Columbia ,2016,2016-08-01,Washington DC,city,"Washington, District of Columbia , United States",38.8950092,-77.0365625
washington_dc_yahox,Washington,United States,November,"Washington, D.C.",yahox,District of Columbia,2014,2014-11-01,Washington DC,city,"Washington, District of Columbia, United States",38.8950092,-77.0365625
washington_yah,,United States,August,Washington,yah,Washington,2015,2015-08-01,,state,"Washington, United States",47.2868352,-120.2126139
washington_yaho,,United States,March,Washington,yaho,Washington,2017,2017-03-01,,state,"Washington, United States",47.2868352,-120.2126139
wellington_icon,Wellington,New Zealand,January,Wellington,icon,,2016,2016-01-01,Wellington,city,"Wellington, New Zealand",-41.2887953,174.7772114
